Date Time, Monitor ID, Location ID, CO(ppm), PM10(ppm), PM2.5(ppm),Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,timestamp,temp_c,hum_prcnt,press_hpa,ozone_ppm,ozone_volt_mv,co_ppm,co_mv,no2_ppb,no2_mv,tvoc_ppb,mc2p5_ugpm3,mc1p0_ugpm3,mc4p0_ugpm3,mc10p0_ugpm3,nc0p5_npcm3,nc1p0_npcm3,nc2p5_npcm3,nc4p0_npcm3,nc10p0_npcm3,typ_pm_um,x_g,y_g,z_g,x_raw,y_raw,z_raw,eq_db,onesmin_db,onesmax_db,lux_lx,uv_mwpm2,batt_volt,batt_prcnt,si1133_int,lis3dh_int,sgpc3_int,batt_int,speco3_int,sps30_int,sps30pre_int,mic4514_int,mic4514pre_int,mic_int,bme280_int,leds_on,code_version,receivedTimestamp,lat,lon,acc,co-ug,no2-ug,o3-ug,co-mg,bc-proxy,ldsa-proxy,newaqi,dosage-male-walking-low,dosage-male-walking-high,dosage-female-walking-low,dosage-female-walking-high,accbin
2021-11-01 11:24:00,1,1, ,0.112,0.069,3290.0,336538.0,336538.0,1635746050502.0,27.13,36.667,947.445,0.0,3027.0,418.0,1678.0,7417.0,2577.0,0.0,51.287,47.79,51.895,52.016,333.27,379.691,381.355,381.655,381.758,0.608,0.144,-0.064,-0.256,2304.0,64512.0,61440.0,66.567,55.602,74.131,352.011,0.379,4142.0,99.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635746052421.0,17.445,78.35,2.1,299.45,236.853,47.239,0.299,2.615,0.0,157.7,14.155,35.388,12.309,30.772,0.0
2021-11-01 11:25:00,1,1, ,0.088,0.063,3291.0,336540.0,336540.0,1635746101028.0,27.09,33.915,947.478,0.0,1742.0,341.0,1453.0,5350.0,1998.0,0.0,47.177,44.327,47.422,47.471,310.048,352.616,353.745,353.94,354.024,0.582,0.016,0.016,-0.16,256.0,256.0,62976.0,67.805,59.378,79.315,1130.677,0.593,4137.0,99.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635746100981.0,17.445,78.35,2.5,235.138,170.679,47.324,0.235,2.197,0.0,120.7,13.021,32.552,11.322,28.306,0.0
2021-11-01 11:27:00,1,1, ,0.102,0.064,3292.0,336542.0,336542.0,1635746228423.0,28.55,34.763,947.408,0.0,450.0,338.0,1449.0,3778.0,1561.0,0.0,50.66,47.405,51.089,51.175,331.096,376.876,378.301,378.553,378.649,0.578,-0.016,-0.016,-0.032,65280.0,65280.0,65024.0,72.554,68.864,84.888,1337.326,0.418,4167.0,99.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635746229678.0,17.445,78.35,2.5,232.894,120.39,46.593,0.233,1.961,0.0,100.7,13.982,34.955,12.158,30.396,0.0
2021-11-01 11:29:00,1,1, ,0.096,0.061,3293.0,336546.0,336546.0,1635746396999.0,29.4,31.286,947.801,0.0,2795.0,360.0,1511.0,2917.0,1322.0,0.0,44.958,42.111,45.303,45.372,294.223,334.835,336.055,336.269,336.353,0.609,0.0,-0.032,-0.064,0.0,65024.0,64512.0,62.747,57.275,68.432,96.706,0.734,4155.0,99.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635746398211.0,17.445,78.35,2.5,246.735,92.804,46.262,0.247,1.701,0.0,95.0,12.408,31.021,10.79,26.975,0.0
2021-11-01 11:32:00,1,1, ,0.130,0.071,3294.0,336550.0,336550.0,1635746577988.0,30.36,30.324,947.309,0.0,3582.0,382.0,1572.0,2460.0,1192.0,0.0,41.202,38.164,41.694,41.832,263.8,302.106,304.478,304.93,305.041,0.588,0.048,-0.032,-0.064,768.0,65024.0,64512.0,67.657,61.78,73.646,1940.819,0.707,4152.0,99.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635746578539.0,17.445,78.35,2.5,262.974,78.174,45.818,0.263,1.553,0.0,91.2,11.372,28.429,9.888,24.721,0.0
2021-11-01 11:37:00,1,1, ,0.132,0.068,3295.0,336554.0,336554.0,1635746853492.0,30.04,33.704,950.819,0.0,1526.0,412.0,1657.0,1932.0,1039.0,0.0,72.33,68.272,72.439,72.461,478.314,543.464,544.857,545.086,545.206,0.566,0.0,0.032,0.08,0.0,512.0,1280.0,74.022,70.162,78.449,401.792,0.644,4130.0,98.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635746854924.0,17.445,78.35,2.5,290.431,61.313,45.893,0.29,1.655,0.0,143.6,19.963,49.907,17.359,43.398,0.0
2021-11-01 11:42:00,1,1, ,0.164,0.112,3296.0,336557.0,336557.0,1635747144493.0,30.33,33.75,952.971,0.0,2914.0,383.0,1582.0,1671.0,971.0,0.0,59.86,56.315,60.11,60.16,394.082,448.068,449.423,449.655,449.759,0.591,-0.032,-0.08,0.032,65024.0,64256.0,512.0,75.448,71.601,80.987,77.293,0.517,4130.0,97.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635747146085.0,17.445,78.35,2.5,267.123,52.963,45.751,0.267,1.466,0.0,118.8,16.521,41.303,14.366,35.916,0.0
2021-11-01 11:45:00,1,1, ,0.099,0.069,3297.0,336560.0,336560.0,1635747336682.0,30.56,33.086,953.078,0.0,2819.0,432.0,1715.0,1660.0,965.0,0.0,98.937,92.496,99.848,100.03,645.812,735.251,738.126,738.637,738.827,0.516,0.0,-0.112,0.016,0.0,63744.0,256.0,76.015,70.642,82.308,398.355,0.47,4121.0,97.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635747337158.0,17.445,78.35,2.5,305.605,52.605,45.654,0.306,1.718,0.0,151.7,27.307,68.266,23.745,59.362,0.0
2021-11-01 11:49:00,1,1, ,0.097,0.066,3298.0,336565.0,336565.0,1635747550641.0,30.58,33.273,947.37,0.0,3109.0,478.0,1839.0,1646.0,958.0,0.0,105.108,99.389,105.114,105.116,696.769,791.381,793.21,793.504,793.672,0.531,0.032,0.064,-0.112,512.0,1024.0,63744.0,72.873,68.471,79.086,317.921,0.365,4118.0,97.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635747550832.0,17.445,78.35,2.5,342.608,52.159,45.64,0.343,1.745,0.0,151.9,29.01,72.525,25.226,63.065,0.0
2021-11-01 11:56:00,1,1, ,0.112,0.097,3299.0,336576.0,336576.0,1635747990709.0,31.64,33.934,947.035,0.0,905.0,447.0,1747.0,1657.0,962.0,0.0,54.609,51.622,54.627,54.63,361.852,411.014,411.982,412.139,412.227,0.59,0.0,0.0,-0.064,0.0,0.0,64512.0,69.735,66.336,73.787,430.724,1.017,4108.0,96.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635747991065.0,17.445,78.35,2.5,317.946,52.522,45.108,0.318,1.446,0.0,108.2,15.072,37.68,13.106,32.766,0.0
2021-11-01 12:00:00,1,1, ,0.098,0.071,3300.0,336580.0,336580.0,1635748232855.0,32.06,31.656,947.288,0.0,2257.0,455.0,1773.0,1721.0,985.0,0.0,61.983,58.272,62.277,62.336,407.669,463.585,465.034,465.282,465.391,0.583,0.144,-0.08,-0.096,2304.0,64256.0,64000.0,72.698,68.791,77.166,260.165,0.302,4105.0,96.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635748233913.0,17.445,78.35,2.5,321.942,54.548,44.958,0.322,1.539,0.0,123.0,17.107,42.768,14.876,37.19,0.0
2021-11-01 12:03:00,1,1, ,0.115,0.074,3301.0,336589.0,336589.0,1635748399787.0,31.63,32.333,948.274,0.0,1799.0,445.0,1749.0,1585.0,940.0,0.0,82.579,78.012,82.647,82.66,546.723,621.082,622.599,622.846,622.981,0.565,0.144,-0.064,-0.08,2304.0,64512.0,64256.0,72.977,67.692,77.636,261.165,0.257,4101.0,95.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635748401068.0,17.445,78.35,2.5,314.791,50.201,45.152,0.315,1.614,0.0,151.2,22.792,56.979,19.819,49.547,0.0
2021-11-01 12:07:00,1,1, ,0.108,0.069,3302.0,336602.0,336602.0,1635748622684.0,31.8,30.707,950.442,0.0,2109.0,419.0,1676.0,1425.0,896.0,0.0,58.667,55.335,58.791,58.816,387.572,440.432,441.606,441.802,441.9,0.548,-0.112,-0.032,0.032,63744.0,65024.0,512.0,72.376,66.641,81.224,378.523,0.812,4092.0,96.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635748623544.0,17.445,78.35,2.5,292.313,45.064,45.108,0.292,1.383,0.0,116.4,16.192,40.481,14.08,35.2,0.0
2021-11-01 12:11:00,1,1, ,0.149,0.112,3303.0,336613.0,336613.0,1635748881993.0,31.39,30.604,949.977,0.0,2176.0,401.0,1622.0,1353.0,875.0,0.0,59.895,56.584,59.943,59.952,396.555,450.487,451.586,451.765,451.862,0.559,0.096,-0.08,0.096,1536.0,64256.0,1536.0,70.532,67.583,73.745,304.883,0.734,4086.0,95.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635748885243.0,17.445,78.35,2.5,277.988,42.757,45.31,0.278,1.352,0.0,118.8,16.531,41.328,14.375,35.937,0.0
2021-11-01 12:12:00,1,1, ,0.133,0.091,3304.0,336618.0,336618.0,1635748954566.0,31.1,31.912,948.92,0.0,1271.0,418.0,1676.0,1360.0,886.0,0.0,72.534,68.586,72.54,72.541,480.821,546.112,547.375,547.578,547.695,0.538,0.016,-0.032,0.0,256.0,65024.0,0.0,75.082,68.479,82.393,302.107,0.51,4098.0,95.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635748953565.0,17.453,78.383,2.2,293.005,42.994,45.42,0.293,1.434,0.0,144.0,20.019,50.049,17.408,43.52,0.0
2021-11-01 12:13:00,1,1, ,0.107,0.082,3305.0,336622.0,336622.0,1635748986348.0,31.1,32.159,948.782,0.0,336.0,406.0,1628.0,1375.0,880.0,0.0,64.739,61.184,64.77,64.777,428.847,487.132,488.294,488.483,488.587,0.563,-0.256,0.064,-0.064,61440.0,1024.0,64512.0,73.725,67.112,77.295,339.722,0.418,4097.0,95.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635748984595.0,17.452,78.382,1.9,283.638,43.477,45.414,0.284,1.391,0.0,128.4,17.868,44.67,15.537,38.843,0.0
2021-11-01 12:17:00,1,1, ,0.118,0.109,3306.0,336633.0,336633.0,1635749235050.0,31.64,31.85,949.167,0.0,363.0,392.0,1598.0,1403.0,895.0,0.0,72.382,68.106,72.676,72.734,476.617,541.893,543.521,543.798,543.924,0.57,0.16,0.032,-0.032,2560.0,512.0,65024.0,67.902,59.998,79.702,588.684,0.562,4097.0,95.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635749235344.0,17.452,78.382,1.9,271.881,44.372,45.158,0.272,1.465,0.0,143.8,19.977,49.944,17.372,43.429,0.0
2021-11-01 12:20:00,1,1, ,0.123,0.080,3307.0,336650.0,336650.0,1635749441674.0,31.69,32.188,949.278,0.0,2447.0,495.0,1890.0,1467.0,912.0,0.0,60.091,56.44,60.422,60.488,394.719,448.947,450.409,450.662,450.77,0.576,-0.096,-0.096,0.096,64000.0,64000.0,1536.0,75.8,71.552,82.478,313.302,0.601,4102.0,94.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635749440958.0,17.452,78.382,1.9,354.656,46.424,45.126,0.355,1.411,0.0,119.2,16.585,41.463,14.422,36.055,0.0
2021-11-01 12:24:00,1,1, ,0.108,0.070,3308.0,336669.0,336669.0,1635749675495.0,31.46,32.346,947.745,0.0,124.0,483.0,1854.0,1450.0,905.0,0.0,121.597,114.989,121.597,121.597,806.155,915.606,917.713,918.051,918.245,0.457,-0.064,0.016,-0.016,64512.0,256.0,65280.0,77.663,70.411,83.265,365.148,0.349,4084.0,94.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635749675674.0,17.452,78.382,1.9,345.307,45.88,45.234,0.345,1.747,0.0,152.4,33.561,83.902,29.183,72.958,0.0
2021-11-01 12:27:00,1,1, ,0.109,0.076,3309.0,336687.0,336687.0,1635749871388.0,32.27,30.688,947.302,0.0,909.0,536.0,2005.0,1585.0,949.0,0.0,88.114,83.326,88.114,88.114,584.169,663.482,665.009,665.254,665.395,0.542,0.048,0.032,-0.016,768.0,512.0,65280.0,75.512,71.149,80.285,405.617,0.117,4091.0,94.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635749870225.0,17.452,78.382,1.9,385.758,50.186,44.879,0.386,1.662,0.0,151.4,24.319,60.799,21.147,52.868,0.0
2021-11-01 12:31:00,1,1, ,0.137,0.071,3310.0,336701.0,336701.0,1635750098698.0,32.44,30.513,947.907,0.0,1938.0,436.0,1727.0,1410.0,898.0,0.0,67.311,63.595,67.361,67.371,445.698,506.306,507.536,507.736,507.845,0.58,0.032,-0.032,0.112,512.0,65024.0,1792.0,74.35,67.691,82.598,649.818,0.295,4091.0,94.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635750097543.0,17.452,78.382,1.9,305.443,44.585,44.801,0.305,1.451,0.0,133.6,18.578,46.444,16.155,40.387,0.0
