Date Time, Monitor ID, Location ID, CO(ppm), PM10(ppm), PM2.5(ppm), SO2(ppm),Unnamed: 0,timestamp,temp_c,hum_prcnt,press_hpa,ozone_ppm,ozone_volt_mv,co_ppm,co_mv,no2_ppb,no2_mv,tvoc_ppb,mc2p5_ugpm3,mc1p0_ugpm3,mc4p0_ugpm3,mc10p0_ugpm3,nc0p5_npcm3,nc1p0_npcm3,nc2p5_npcm3,nc4p0_npcm3,nc10p0_npcm3,typ_pm_um,x_g,y_g,z_g,x_raw,y_raw,z_raw,eq_db,onesmin_db,onesmax_db,lux_lx,uv_mwpm2,batt_volt,batt_prcnt,si1133_int,lis3dh_int,sgpc3_int,batt_int,speco3_int,sps30_int,sps30pre_int,mic4514_int,mic4514pre_int,mic_int,bme280_int,leds_on,code_version,receivedTimestamp,lat,lon,acc,co-ug,no2-ug,o3-ug,co-mg,bc-proxy,ldsa-proxy,newaqi,dosage-male-walking-low,dosage-male-walking-high,dosage-female-walking-low,dosage-female-walking-high,accbin
2021-11-03 14:39:00,1,1, , , ,0.0,12030.5,1635930563106.5,30.305,50.075,942.591,2.0,14.0,262.5,1235.5,3519.5,1485.0,0.0,14.376,13.594,14.376,14.376,95.303,108.243,108.492,108.532,108.555,0.513,-0.032,-0.032,0.048,65024.0,65024.0,768.0,56.887,51.392,67.345,0.0,0.0,4186.5,100.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635930565025.0,17.444,78.35,3.85,186.546,112.291,48.844,0.187,1.309,11.029,88.9,3.968,9.919,3.45,8.625,0.0
2021-11-03 14:40:00,1,1, , , ,0.0,12032.5,1635930624760.0,30.555,49.003,942.595,9.5,-187.5,272.5,1268.0,3072.5,1358.0,0.0,14.535,13.745,14.535,14.535,96.361,109.444,109.695,109.736,109.759,0.475,-0.032,0.008,-0.008,65024.0,128.0,32640.0,59.896,51.725,73.465,0.0,0.0,4190.5,100.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635930625989.0,17.445,78.35,4.65,193.395,97.977,61.764,0.193,1.241,10.163,84.45,4.012,10.029,3.488,8.721,0.0
2021-11-03 14:41:00,1,1, , , ,0.0,12034.5,1635930687397.5,30.74,48.575,942.6,34.5,-691.5,270.5,1258.0,2769.0,1271.5,0.0,14.755,13.953,14.755,14.755,97.821,111.102,111.358,111.399,111.423,0.479,-0.016,-0.016,-0.008,32512.0,32512.0,32640.0,61.054,52.531,73.508,0.0,0.0,4184.0,100.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635930687925.5,17.445,78.35,3.4,191.293,88.261,105.071,0.191,1.193,19.811,90.6,4.072,10.181,3.541,8.853,0.0
2021-11-03 14:42:00,1,1, , , ,0.0,12036.5,1635930749513.5,30.905,48.253,942.58,28.5,-563.0,282.0,1287.5,2624.5,1236.0,0.0,13.738,12.991,13.738,13.738,91.076,103.442,103.68,103.718,103.74,0.488,0.008,-0.024,0.048,128.0,65152.0,768.0,60.661,51.502,69.964,0.0,0.0,4188.5,100.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635930750116.0,17.445,78.35,3.25,200.112,83.634,94.586,0.2,1.141,19.28,79.95,3.792,9.479,3.297,8.243,0.0
2021-11-03 14:43:00,1,1, , , ,0.0,12038.5,1635930811928.5,31.12,47.992,942.579,39.0,-779.0,283.5,1296.5,2526.5,1209.5,0.0,14.262,13.487,14.262,14.262,94.551,107.389,107.636,107.676,107.698,0.469,0.064,0.016,0.016,1024.0,256.0,33024.0,58.329,50.781,66.782,0.0,0.0,4192.5,100.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635930812646.5,17.445,78.35,3.3,200.959,80.496,112.71,0.201,1.138,19.052,83.45,3.936,9.841,3.423,8.557,0.0
2021-11-03 14:44:00,1,1, , , ,0.0,12040.5,1635930874234.5,31.26,47.164,942.625,16.5,21.5,276.0,1275.0,2333.5,1148.0,0.0,15.827,14.967,15.827,15.827,104.931,119.178,119.452,119.496,119.522,0.5,0.064,0.032,0.064,1024.0,33280.0,1024.0,61.782,55.009,68.953,0.0,0.0,4193.0,100.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635930874948.0,17.445,78.351,3.35,194.085,74.312,73.613,0.194,1.134,9.487,76.7,4.368,10.921,3.799,9.496,0.0
2021-11-03 14:45:00,1,1, , , ,0.0,12042.5,1635930935612.0,31.195,47.031,942.938,54.5,-1088.0,277.0,1277.0,2217.5,1117.0,0.0,15.607,14.759,15.607,15.607,103.471,117.52,117.79,117.833,117.858,0.516,-0.024,-0.04,0.064,32384.0,64896.0,1024.0,64.315,59.932,71.581,0.0,0.0,4189.5,100.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635930936594.0,17.446,78.351,2.55,194.785,70.598,139.597,0.195,1.105,18.575,101.6,4.308,10.769,3.746,9.364,0.0
2021-11-03 14:46:00,1,1, , , ,0.0,12044.5,1635930996836.5,31.47,46.148,942.909,56.0,-1112.0,285.0,1301.5,2135.5,1097.5,0.0,17.397,16.448,17.4,17.4,115.307,130.968,131.273,131.322,131.35,0.529,0.056,0.008,-0.048,896.0,32896.0,64768.0,60.572,58.401,64.29,0.0,0.0,4182.5,100.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635930997788.5,17.446,78.351,1.9,200.206,67.966,142.087,0.2,1.128,18.777,107.95,4.802,12.004,4.175,10.438,0.0
2021-11-03 14:47:00,1,1, , , ,0.1,12046.5,1635931059796.0,31.845,45.859,942.958,43.0,-856.5,286.5,1307.0,2157.0,1108.0,0.0,16.532,15.632,16.532,16.532,109.592,124.472,124.76,124.806,124.832,0.518,0.008,0.048,-0.096,32896.0,768.0,64000.0,63.537,58.655,71.938,0.0,0.0,4187.0,100.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635931060566.0,17.447,78.351,3.0,200.954,68.652,119.35,0.201,1.122,19.075,111.2,4.563,11.407,3.968,9.919,0.0
2021-11-03 14:48:00,1,1, , , ,0.1,12048.5,1635931122061.5,31.585,45.22,942.081,51.0,-1015.5,291.5,1318.0,1956.5,1047.5,0.0,26.305,24.875,26.305,26.305,174.392,198.07,198.525,198.598,198.641,0.491,0.0,0.008,-0.12,32768.0,128.0,63616.0,78.814,70.968,86.317,0.0,0.0,4186.0,100.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635931122701.0,17.451,78.346,3.35,204.454,62.228,133.376,0.204,1.238,19.957,99.2,7.26,18.15,6.313,15.783,0.0
2021-11-03 14:49:00,1,1, , , ,0.1,12050.5,1635931183414.5,30.73,46.837,941.725,56.0,-1116.0,329.5,1421.5,1919.5,1038.0,0.0,24.747,23.402,24.747,24.747,164.064,186.339,186.768,186.837,186.877,0.458,0.04,-0.048,-0.128,640.0,64768.0,63488.0,84.783,76.245,89.759,0.0,0.0,4192.0,100.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635931183950.0,17.457,78.34,4.8,236.844,61.058,142.431,0.237,1.187,19.552,107.25,6.83,17.075,5.939,14.848,0.0
2021-11-03 14:50:00,1,1, , , ,0.0,12052.0,1635931230047.0,30.34,48.569,941.618,78.0,-1551.0,320.0,1396.0,1846.0,1015.0,0.0,23.571,22.29,23.571,23.571,148.589,177.482,177.891,177.956,177.994,0.492,-0.176,0.112,-0.096,62720.0,1792.0,64000.0,87.882,82.85,91.698,0.0,0.0,4191.0,100.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635931230301.0,17.461,78.338,4.1,231.103,58.723,180.76,0.231,1.145,19.011,150.8,6.505,16.264,5.657,14.142,0.0
2021-11-03 14:51:00,1,1, , , ,0.0,12054.0,1635931282245.667,30.033,48.656,943.516,52.667,-1050.0,307.667,1363.333,1739.0,986.333,0.0,16.061,15.188,16.061,16.061,106.48,120.937,121.216,121.26,121.286,0.5,-0.059,0.507,0.117,64597.333,29952.0,23722.667,78.906,64.116,84.009,0.0,0.0,4186.667,100.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635931284959.333,17.463,78.341,5.233,221.453,55.299,136.942,0.221,0.982,17.734,93.733,4.433,11.082,3.855,9.637,0.0
2021-11-03 14:52:00,1,1, , , ,0.0,12056.5,1635931339248.0,29.515,49.21,944.136,82.0,-1640.5,287.0,1310.0,1703.5,978.5,0.0,18.314,17.319,18.314,18.314,121.415,137.9,138.217,138.268,138.297,0.498,-0.184,-0.32,0.248,62592.0,27648.0,3968.0,75.535,68.799,82.062,0.0,0.0,4191.0,100.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635931339944.5,17.466,78.341,4.1,205.682,54.166,188.089,0.206,1.008,17.722,135.4,5.055,12.637,4.395,10.988,0.0
2021-11-03 14:53:00,1,1, , , ,0.0,12058.5,1635931401491.5,29.715,49.274,944.55,80.5,-1605.5,308.0,1363.5,1883.5,1023.5,0.0,16.489,15.559,16.519,16.525,108.992,123.848,124.171,124.224,124.252,0.537,-0.024,-0.024,-0.048,65152.0,65152.0,32000.0,63.232,58.433,70.41,0.0,0.0,4192.5,100.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635931401872.5,17.466,78.34,3.65,222.467,59.928,185.387,0.222,1.023,17.806,147.95,4.551,11.378,3.957,9.894,0.0
2021-11-03 14:54:00,1,1, , , ,0.0,12060.5,1635931464146.0,30.26,48.149,944.571,68.5,-1368.0,287.5,1304.5,1892.5,1027.0,0.0,14.181,13.374,14.213,14.219,93.666,106.444,106.73,106.778,106.802,0.537,0.032,0.0,-0.112,512.0,0.0,30976.0,61.953,57.149,66.982,0.0,0.0,4186.5,100.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635931464912.0,17.466,78.34,4.4,204.709,60.206,164.322,0.205,0.985,17.396,130.1,3.914,9.785,3.403,8.509,0.0
2021-11-03 14:55:00,1,1, , , ,0.0,12062.5,1635931526960.5,30.74,46.802,944.13,65.5,-1308.5,312.5,1375.0,1876.0,1025.0,0.0,19.719,18.648,19.719,19.719,130.734,148.484,148.826,148.881,148.912,0.506,-0.04,-0.008,0.096,64896.0,32640.0,34304.0,69.069,61.204,75.359,0.0,0.0,4190.0,100.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635931527869.0,17.466,78.342,3.85,223.194,59.666,158.914,0.223,1.093,18.492,123.45,5.443,13.606,4.733,11.832,0.0
2021-11-03 14:56:00,1,1, , , ,0.0,12064.5,1635931588617.5,30.54,46.98,943.321,70.5,-1406.5,289.0,1306.5,1710.0,981.5,0.0,38.161,36.088,38.161,38.161,252.998,287.348,288.009,288.115,288.176,0.517,0.008,0.008,0.056,32896.0,32896.0,33664.0,77.169,66.785,85.221,0.0,0.0,4188.0,100.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635931589354.5,17.464,78.346,5.25,204.644,54.355,167.685,0.205,1.271,20.308,134.4,10.533,26.331,9.159,22.897,0.0
2021-11-03 14:57:00,1,1, , , ,0.0,12066.5,1635931649947.0,30.275,47.703,943.542,90.5,-1804.0,309.0,1367.0,1815.5,1012.0,0.0,17.133,16.174,17.158,17.163,113.317,128.749,129.077,129.131,129.16,0.53,-0.048,0.016,-0.056,64768.0,256.0,31872.0,74.329,64.131,81.643,0.0,0.0,4180.0,100.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635931651060.5,17.463,78.348,4.7,221.482,57.737,202.507,0.221,1.022,17.667,151.65,4.729,11.822,4.112,10.28,0.0
2021-11-03 14:58:00,1,1, , , ,0.0,12068.5,1635931714092.5,30.635,46.439,942.718,79.0,-1574.5,290.0,1308.5,1626.5,954.0,0.0,26.528,24.357,27.153,27.278,168.941,193.085,194.341,194.577,194.641,0.551,0.08,-0.024,-0.08,1280.0,32384.0,64256.0,81.983,72.97,87.072,0.0,0.0,4188.0,100.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635931714765.0,17.462,78.351,5.1,204.874,51.677,182.403,0.205,1.126,18.821,137.1,7.322,18.305,6.367,15.917,0.0
2021-11-03 14:59:00,1,1, , , ,0.0,12070.0,1635931762354.0,30.81,46.354,942.649,79.0,-1567.0,301.0,1335.0,1646.0,961.0,0.0,30.68,29.009,30.683,30.684,203.367,230.984,231.52,231.606,231.655,0.476,-0.064,0.032,-0.128,64512.0,512.0,63488.0,77.21,67.716,84.013,0.0,0.0,4183.0,100.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635931763128.0,17.461,78.354,5.3,213.519,52.301,182.32,0.214,1.189,19.425,151.0,8.468,21.169,7.363,18.408,0.0
2021-11-03 15:00:00,1,1, , , ,0.1,12071.0,1635931844866.0,31.33,45.11,941.133,42.0,-842.0,263.0,1238.0,1525.0,930.0,0.0,24.808,23.46,24.808,24.808,164.472,186.802,187.232,187.301,187.341,0.436,0.016,-0.048,0.064,256.0,64768.0,1024.0,85.337,68.103,93.062,0.0,0.0,4177.0,100.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635931847280.0,17.458,78.359,2.5,181.644,48.418,117.883,0.182,1.082,18.613,86.6,6.847,17.118,5.954,14.885,0.0
2021-11-03 15:01:00,1,1, , , ,0.1,12073.0,1635931902373.333,30.41,47.339,942.568,83.0,-1657.0,321.333,1405.667,1702.0,981.0,0.0,22.484,21.263,22.484,22.484,149.064,169.303,169.693,169.755,169.791,0.466,0.144,-0.021,-0.091,2304.0,21504.0,42240.0,82.945,72.697,89.815,0.0,0.0,4183.0,100.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635931918111.667,17.456,78.364,4.3,230.94,54.102,189.433,0.231,1.087,18.403,151.267,6.206,15.514,5.396,13.491,0.0
2021-11-03 15:02:00,1,1, , , ,0.1,12075.5,1635931952111.0,30.39,47.05,942.498,115.0,-2287.0,329.0,1424.0,1753.0,989.0,0.0,19.502,18.443,19.502,19.502,129.295,146.849,147.187,147.241,147.273,0.512,0.064,0.048,0.16,65024.0,1024.0,2560.0,73.954,66.028,82.42,0.0,0.0,4191.0,100.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635931965739.5,17.458,78.366,3.3,236.807,55.731,244.986,0.237,1.054,17.882,153.0,5.383,13.457,4.681,11.701,0.0
2021-11-03 15:06:00,1,1, , , ,0.0,12077.0,1635932196194.0,30.18,47.028,944.142,77.0,-1543.0,272.0,1268.0,1910.0,1035.0,0.0,16.88,15.962,16.88,16.88,111.907,127.101,127.394,127.44,127.467,0.482,-0.048,0.032,0.0,64768.0,512.0,0.0,70.325,65.742,79.845,0.0,0.0,4181.0,100.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635932198084.0,17.462,78.367,4.1,191.244,60.754,179.14,0.191,1.044,17.977,148.6,4.659,11.647,4.051,10.128,0.0
2021-11-03 15:08:00,1,1, , , ,0.0,12078.5,1635932299138.5,30.27,47.963,943.896,110.0,-2190.0,307.0,1362.0,1824.5,1010.5,0.0,21.375,20.213,21.375,21.375,141.709,160.95,161.32,161.379,161.414,0.479,-0.016,-0.024,-0.04,65280.0,32384.0,64896.0,73.195,65.796,79.305,0.0,0.0,4179.5,100.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635932300246.0,17.464,78.367,4.05,220.136,58.028,236.345,0.22,1.101,18.395,152.7,5.899,14.749,5.13,12.825,0.0
2021-11-03 15:09:00,1,1, , , ,0.1,12080.5,1635932362946.5,30.72,47.132,943.537,53.5,-1070.0,334.0,1437.0,1798.0,1005.5,0.0,36.527,34.542,36.527,36.527,242.162,275.041,275.674,275.776,275.834,0.501,-0.112,-0.104,0.16,63744.0,63872.0,2560.0,77.729,72.17,85.562,0.0,0.0,4184.5,100.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635932363748.0,17.466,78.367,4.7,240.74,57.173,138.09,0.241,1.301,20.733,99.2,10.081,25.204,8.766,21.916,0.0
2021-11-03 15:10:00,1,1, , , ,0.1,12082.5,1635932422308.0,30.915,46.814,942.991,77.0,-1538.5,319.5,1395.0,1846.0,1019.5,0.0,25.195,23.826,25.195,25.195,167.035,189.714,190.15,190.22,190.261,0.475,-0.056,-0.008,0.224,31872.0,32640.0,3584.0,75.671,70.481,83.133,0.0,0.0,4190.5,100.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635932422907.5,17.469,78.366,3.95,228.73,58.706,178.787,0.229,1.178,19.292,124.35,6.954,17.384,6.047,15.117,0.0
2021-11-03 15:11:00,1,1, , , ,0.1,12084.5,1635932484980.5,30.81,47.443,942.699,71.0,-1413.0,304.5,1357.5,1781.5,998.0,0.0,33.646,31.818,33.646,33.646,223.062,253.348,253.931,254.024,254.078,0.464,0.024,0.04,-0.024,33152.0,640.0,32384.0,77.266,71.085,83.901,0.0,0.0,4183.0,100.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635932485914.0,17.475,78.363,4.0,217.381,56.649,168.41,0.217,1.246,19.992,120.45,9.286,23.216,8.075,20.188,0.0
2021-11-03 15:12:00,1,1, , , ,0.1,12086.5,1635932547642.5,30.04,49.811,943.14,108.5,-2163.5,369.5,1539.5,1858.5,1021.5,0.0,43.64,41.269,43.64,43.64,289.321,328.603,329.359,329.48,329.55,0.485,0.0,-0.008,-0.08,32768.0,32640.0,64256.0,75.385,67.833,82.908,0.0,0.0,4185.5,100.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635932548220.5,17.479,78.361,3.35,272.082,59.135,233.81,0.272,1.382,21.202,152.65,12.045,30.112,10.474,26.184,0.0
2021-11-03 15:13:00,1,1, , , ,0.0,12088.5,1635932608790.5,29.475,51.028,942.989,72.0,-1437.0,315.0,1384.0,1728.0,993.0,0.0,38.624,36.525,38.624,38.624,256.068,290.834,291.504,291.611,291.673,0.453,0.04,0.064,-0.224,640.0,33792.0,61952.0,79.717,73.728,85.239,0.0,0.0,4194.0,100.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635932609487.0,17.484,78.36,3.5,229.888,54.97,170.71,0.23,1.282,20.634,125.3,10.66,26.651,9.27,23.175,0.0
2021-11-03 15:14:00,1,1, , , ,0.0,12090.5,1635932670759.5,28.565,53.495,943.689,121.0,-2416.0,347.5,1474.0,1776.5,996.5,0.0,57.502,49.459,57.504,57.504,346.742,393.82,394.726,394.871,394.955,0.462,0.08,-0.096,0.064,1280.0,64000.0,33792.0,82.068,78.714,85.411,0.0,0.0,4183.5,100.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635932671753.5,17.488,78.355,4.1,258.728,56.545,256.133,0.259,1.445,21.999,153.35,15.87,39.676,13.8,34.501,0.0
2021-11-03 15:15:00,1,1, , , ,0.0,12092.5,1635932735018.0,28.195,54.707,945.545,110.5,-2211.0,300.5,1340.5,1708.5,979.5,0.0,34.486,32.612,34.486,34.486,228.634,259.676,260.273,260.369,260.424,0.458,0.024,0.0,0.0,33152.0,32768.0,32768.0,77.269,71.034,81.653,0.0,0.0,4184.5,100.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635932736080.5,17.489,78.354,4.9,222.446,54.38,238.062,0.222,1.209,19.862,152.8,9.518,23.795,8.277,20.692,0.0
2021-11-03 15:16:00,1,1, , , ,0.0,12094.5,1635932795472.5,28.585,53.605,945.659,101.0,-2019.5,327.0,1414.5,1794.5,1007.5,0.0,39.85,37.685,39.85,39.85,264.194,300.065,300.755,300.866,300.93,0.478,-0.008,-0.048,-0.016,32640.0,64768.0,32512.0,70.674,66.52,79.706,0.0,0.0,4185.5,100.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635932796688.0,17.494,78.352,2.7,242.413,57.122,221.411,0.242,1.29,20.586,152.25,10.999,27.497,9.564,23.91,0.0
2021-11-03 15:17:00,1,1, , , ,0.0,12096.5,1635932856212.0,29.01,52.585,945.499,97.0,-1933.0,342.5,1462.5,1817.5,1003.0,0.0,33.451,31.633,33.451,33.451,221.772,251.882,252.462,252.554,252.608,0.492,-0.072,-0.088,0.064,31616.0,64128.0,1024.0,79.555,74.987,85.581,0.0,0.0,4191.0,100.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635932857341.5,17.495,78.356,2.65,253.635,57.849,214.286,0.254,1.246,20.15,152.0,9.233,23.081,8.028,20.071,0.0
2021-11-03 15:18:00,1,1, , , ,0.0,12098.5,1635932919194.0,29.19,52.164,944.431,109.0,-2173.5,395.5,1608.0,1767.5,994.0,0.0,39.159,37.031,39.159,39.159,259.61,294.858,295.536,295.645,295.708,0.473,0.104,0.04,-0.032,1664.0,640.0,65024.0,78.16,71.956,86.53,0.0,0.0,4188.0,100.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635932920244.5,17.497,78.36,3.5,295.579,56.245,235.035,0.296,1.297,20.556,152.65,10.808,27.019,9.398,23.495,0.0
2021-11-03 15:19:00,1,1, , , ,0.0,12100.5,1635932981986.5,29.52,51.744,944.343,101.5,-2023.0,365.0,1522.5,1824.5,1013.0,0.0,32.111,30.367,32.111,32.111,212.89,241.795,242.351,242.44,242.492,0.525,-0.016,-0.024,0.032,65280.0,65152.0,512.0,72.407,69.989,79.462,0.0,0.0,4188.5,100.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635932983136.0,17.497,78.361,2.75,270.599,58.066,221.868,0.271,1.239,19.96,152.25,8.863,22.157,7.707,19.267,0.0
2021-11-03 15:21:00,1,1, , , ,0.1,12103.0,1635933090505.333,30.603,49.121,943.97,89.667,-1791.333,435.333,1719.0,1935.333,1042.667,0.0,43.463,41.063,43.495,43.501,287.788,326.923,327.718,327.847,327.917,0.51,-0.037,0.016,-0.005,64938.667,22101.333,21760.0,73.583,70.09,78.39,0.0,0.0,4190.333,100.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635933091605.333,17.497,78.363,2.3,323.863,61.589,200.867,0.324,1.405,21.366,151.6,11.996,29.989,10.431,26.078,0.0
2021-11-03 15:22:00,1,1, , , ,0.0,12105.0,1635933150760.0,30.7,48.183,943.34,76.0,-1519.0,406.0,1640.0,1825.0,1004.0,0.0,54.876,51.894,54.876,54.876,363.81,413.205,414.156,414.308,414.396,0.455,-0.112,-0.128,0.064,63744.0,63488.0,1024.0,80.252,74.194,86.212,0.0,0.0,4190.0,100.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635933151717.0,17.497,78.368,3.4,299.42,58.048,177.123,0.299,1.494,22.356,146.1,15.146,37.864,13.17,32.925,0.0
2021-11-03 15:23:00,1,1, , , ,0.1,12106.5,1635933196878.0,29.65,50.92,942.191,76.5,-1531.0,340.0,1454.0,1749.5,988.5,0.0,43.739,41.363,43.739,43.739,289.98,329.351,330.109,330.23,330.3,0.458,0.072,-0.04,-0.12,1152.0,32128.0,63616.0,85.364,77.141,89.906,0.0,0.0,4180.0,100.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635933198148.0,17.497,78.374,3.15,249.721,55.657,178.437,0.25,1.345,21.178,130.75,12.072,30.18,10.497,26.244,0.0
2021-11-03 15:24:00,1,1, , , ,0.1,12108.5,1635933258898.0,28.72,53.423,941.915,108.0,-2145.5,346.0,1471.0,1762.0,997.0,0.0,56.26,53.203,56.26,56.26,372.989,423.631,424.606,424.762,424.852,0.446,-0.064,0.104,0.048,64512.0,1664.0,768.0,82.406,75.88,86.373,0.0,0.0,4188.5,100.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635933260205.5,17.499,78.38,3.1,257.386,56.081,233.498,0.257,1.441,22.029,152.65,15.528,38.82,13.502,33.756,0.0
2021-11-03 15:25:00,1,1, , , ,0.1,12110.5,1635933322667.5,28.44,54.039,942.526,111.5,-2225.5,388.0,1586.5,1899.5,1029.0,0.0,45.729,43.245,45.729,45.729,303.173,344.335,345.128,345.255,345.328,0.454,0.024,0.04,-0.12,33152.0,33408.0,30848.0,80.714,75.626,84.226,0.0,0.0,4184.0,100.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635933323812.5,17.499,78.385,4.4,291.742,60.486,239.694,0.292,1.391,21.56,152.8,12.621,31.553,10.975,27.438,0.0
2021-11-03 15:26:00,1,1, , , ,0.1,12112.5,1635933387115.0,28.535,54.291,943.157,112.5,-2249.5,422.0,1685.0,1731.5,990.0,0.0,40.848,38.628,40.848,40.848,270.808,307.576,308.283,308.397,308.462,0.457,-0.072,0.032,0.072,64384.0,512.0,1152.0,78.486,73.82,85.268,0.0,0.0,4188.5,100.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635933388279.0,17.498,78.39,6.15,319.167,55.113,241.377,0.319,1.289,20.585,152.9,11.274,28.185,9.803,24.509,0.5
2021-11-03 15:27:00,1,1, , , ,0.0,12114.5,1635933445790.0,28.68,54.23,942.748,97.5,-1942.5,419.0,1676.5,1947.5,1047.5,0.0,49.414,46.729,49.415,49.415,327.604,372.083,372.939,373.076,373.156,0.44,-0.096,-0.008,-0.04,64000.0,32640.0,32128.0,78.363,74.425,84.378,0.0,0.0,4184.0,100.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635933445961.0,17.497,78.394,2.4,316.639,62.025,215.276,0.317,1.443,22.069,152.05,13.638,34.096,11.859,29.649,0.0
2021-11-03 15:28:00,1,1, , , ,0.1,12116.5,1635933510915.0,28.87,53.404,943.492,100.5,-1999.0,455.0,1775.5,2151.5,1101.0,0.0,41.597,39.337,41.597,41.597,275.779,313.222,313.942,314.058,314.124,0.485,-0.056,0.016,0.056,32640.0,384.0,33664.0,77.405,71.548,86.252,0.0,0.0,4186.5,100.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,120.0,30.0,30.0,1.0,1.0,1635933511089.5,17.496,78.397,4.3,344.572,68.545,220.409,0.345,1.437,21.912,152.25,11.481,28.702,9.983,24.958,0.0
