created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8
2021-02-01 00:00:30 +0530,106701,91.3,72.5,47.67,28.71,,,,6
2021-02-01 00:01:00 +0530,106702,90.7,71.7,47.7,28.71,,,,6
2021-02-01 00:01:30 +0530,106703,91.1,70.7,47.76,28.71,,,,6
2021-02-01 00:02:00 +0530,106704,92.6,71.2,47.76,28.7,,,,6
2021-02-01 00:02:30 +0530,106705,105.8,73.6,47.79,28.7,,,,6
2021-02-01 00:03:00 +0530,106706,106.3,71.9,47.79,28.7,,,,6
2021-02-01 00:03:30 +0530,106707,108.2,74.2,47.83,28.7,,,,6
2021-02-01 00:04:00 +0530,106708,90.8,72.7,47.79,28.7,,,,6
2021-02-01 00:04:30 +0530,106709,99.9,73.6,47.83,28.7,,,,6
2021-02-01 00:05:00 +0530,106710,101.1,73.6,47.79,28.71,,,,6
2021-02-01 00:05:30 +0530,106711,106.4,74.5,47.79,28.71,,,,6
2021-02-01 00:06:00 +0530,106712,100.3,72.5,47.86,28.69,,,,6
2021-02-01 00:06:30 +0530,106713,112.0,76.3,47.93,28.7,,,,6
2021-02-01 00:07:00 +0530,106714,118.4,76.5,47.86,28.7,,,,6
2021-02-01 00:07:30 +0530,106715,103.2,71.1,47.93,28.68,,,,6
2021-02-01 00:08:00 +0530,106716,102.6,71.6,47.96,28.68,,,,6
2021-02-01 00:08:30 +0530,106717,101.2,76.0,47.99,28.67,,,,6
2021-02-01 00:09:00 +0530,106718,93.4,72.9,47.99,28.64,,,,6
2021-02-01 00:09:30 +0530,106719,98.6,69.7,48.11,28.62,,,,6
2021-02-01 00:10:00 +0530,106720,121.1,77.9,48.14,28.61,,,,6
2021-02-01 00:10:30 +0530,106721,117.3,78.1,48.18,28.62,,,,6
2021-02-01 00:11:00 +0530,106722,110.1,79.2,48.14,28.62,,,,6
2021-02-01 00:11:30 +0530,106723,114.8,81.2,48.21,28.61,,,,6
2021-02-01 00:12:00 +0530,106724,95.1,69.4,48.18,28.6,,,,6
2021-02-01 00:12:30 +0530,106725,99.0,72.6,48.18,28.6,,,,6
2021-02-01 00:13:00 +0530,106726,101.7,73.8,48.21,28.6,,,,6
2021-02-01 00:13:30 +0530,106727,98.9,71.5,48.31,28.58,,,,6
2021-02-01 00:14:00 +0530,106728,87.8,71.9,48.24,28.58,,,,6
2021-02-01 00:14:30 +0530,106729,96.1,73.6,48.28,28.58,,,,6
2021-02-01 00:15:00 +0530,106730,102.1,75.9,48.44,28.58,,,,6
2021-02-01 00:15:30 +0530,106731,100.9,73.2,48.47,28.59,,,,6
2021-02-01 00:16:00 +0530,106732,98.5,74.3,48.41,28.59,,,,6
2021-02-01 00:16:30 +0530,106733,98.3,72.7,48.41,28.6,,,,6
2021-02-01 00:17:00 +0530,106734,96.9,72.5,48.37,28.59,,,,6
2021-02-01 00:17:30 +0530,106735,99.0,73.5,48.37,28.59,,,,6
2021-02-01 00:18:00 +0530,106736,97.9,75.5,48.44,28.59,,,,6
2021-02-01 00:18:30 +0530,106737,97.0,71.1,48.44,28.59,,,,6
2021-02-01 00:19:00 +0530,106738,92.9,75.3,48.44,28.59,,,,6
2021-02-01 00:19:30 +0530,106739,92.9,74.7,48.44,28.59,,,,6
2021-02-01 00:20:00 +0530,106740,103.0,75.6,48.47,28.59,,,,6
2021-02-01 00:20:30 +0530,106741,99.3,74.6,48.54,28.59,,,,6
2021-02-01 00:21:00 +0530,106742,99.5,75.5,48.57,28.59,,,,6
2021-02-01 00:21:30 +0530,106743,96.0,75.5,48.54,28.6,,,,6
2021-02-01 00:22:00 +0530,106744,94.6,77.0,48.54,28.6,,,,6
2021-02-01 00:22:30 +0530,106745,114.3,73.3,48.64,28.59,,,,6
2021-02-01 00:23:00 +0530,106746,84.9,68.9,48.67,28.58,,,,6
2021-02-01 00:23:30 +0530,106747,96.5,76.7,48.67,28.58,,,,6
2021-02-01 00:24:00 +0530,106748,95.8,79.4,48.67,28.58,,,,6
2021-02-01 00:24:30 +0530,106749,99.4,76.5,48.74,28.57,,,,6
2021-02-01 00:25:00 +0530,106750,91.4,75.5,48.71,28.57,,,,6
2021-02-01 00:25:30 +0530,106751,90.6,80.6,48.74,28.57,,,,6
2021-02-01 00:26:00 +0530,106752,106.4,77.4,48.88,28.55,,,,6
2021-02-01 00:26:30 +0530,106753,115.3,82.6,48.95,28.55,,,,6
2021-02-01 00:27:00 +0530,106754,99.9,79.8,48.95,28.54,,,,6
2021-02-01 00:27:30 +0530,106755,114.0,79.0,48.98,28.53,,,,6
2021-02-01 00:28:00 +0530,106756,130.7,80.3,49.05,28.53,,,,6
2021-02-01 00:28:30 +0530,106757,98.2,76.8,49.01,28.53,,,,6
2021-02-01 00:29:00 +0530,106758,93.5,76.7,49.01,28.52,,,,6
2021-02-01 00:29:30 +0530,106759,101.1,75.2,49.08,28.5,,,,6
2021-02-01 00:30:00 +0530,106760,91.1,71.5,49.11,28.48,,,,6
2021-02-01 00:30:30 +0530,106761,86.9,72.8,49.18,28.47,,,,6
2021-02-01 00:31:00 +0530,106762,92.1,76.5,49.18,28.47,,,,6
2021-02-01 00:31:30 +0530,106763,102.8,78.7,49.24,28.46,,,,6
2021-02-01 00:32:00 +0530,106764,116.8,83.4,49.34,28.47,,,,6
2021-02-01 00:32:30 +0530,106765,129.9,83.1,49.38,28.46,,,,6
2021-02-01 00:33:00 +0530,106766,110.6,79.1,49.35,28.45,,,,6
2021-02-01 00:33:30 +0530,106767,112.6,77.1,49.42,28.44,,,,6
2021-02-01 00:34:00 +0530,106768,111.6,74.0,49.42,28.42,,,,6
2021-02-01 00:34:30 +0530,106769,114.0,82.7,49.45,28.43,,,,6
2021-02-01 00:35:00 +0530,106770,105.1,82.3,49.44,28.45,,,,6
2021-02-01 00:35:30 +0530,106771,100.6,78.0,49.42,28.45,,,,6
2021-02-01 00:36:00 +0530,106772,104.6,81.4,49.42,28.46,,,,6
2021-02-01 00:36:30 +0530,106773,98.7,79.9,49.44,28.46,,,,6
2021-02-01 00:37:00 +0530,106774,111.5,81.8,49.44,28.47,,,,6
2021-02-01 00:37:30 +0530,106775,136.2,83.5,49.55,28.46,,,,6
2021-02-01 00:38:00 +0530,106776,130.9,85.0,49.55,28.47,,,,6
2021-02-01 00:38:30 +0530,106777,119.8,83.0,49.51,28.47,,,,6
2021-02-01 00:39:00 +0530,106778,109.8,81.7,49.48,28.48,,,,6
2021-02-01 00:39:30 +0530,106779,95.7,80.1,49.48,28.48,,,,6
2021-02-01 00:40:00 +0530,106780,107.7,83.6,49.44,28.48,,,,6
2021-02-01 00:40:30 +0530,106781,104.1,78.4,49.55,28.46,,,,6
2021-02-01 00:41:00 +0530,106782,101.2,81.2,49.58,28.46,,,,6
2021-02-01 00:41:30 +0530,106783,106.1,84.8,49.61,28.46,,,,6
2021-02-01 00:42:00 +0530,106784,99.4,83.9,49.58,28.46,,,,6
2021-02-01 00:42:30 +0530,106785,121.0,82.6,49.59,28.45,,,,6
2021-02-01 00:43:00 +0530,106786,105.2,82.3,49.62,28.45,,,,6
2021-02-01 00:43:30 +0530,106787,101.2,82.5,49.66,28.44,,,,6
2021-02-01 00:44:00 +0530,106788,99.9,84.5,49.69,28.43,,,,6
2021-02-01 00:44:30 +0530,106789,103.3,81.7,49.72,28.43,,,,6
2021-02-01 00:45:00 +0530,106790,112.0,81.3,49.85,28.41,,,,6
2021-02-01 00:45:30 +0530,106791,112.7,83.3,49.89,28.4,,,,6
2021-02-01 00:46:00 +0530,106792,110.8,84.8,49.95,28.4,,,,6
2021-02-01 00:46:30 +0530,106793,98.7,83.0,49.95,28.4,,,,6
2021-02-01 00:47:00 +0530,106794,101.5,83.2,49.92,28.4,,,,6
2021-02-01 00:47:30 +0530,106795,108.4,84.3,49.92,28.41,,,,6
2021-02-01 00:48:00 +0530,106796,113.1,81.4,49.99,28.4,,,,6
2021-02-01 00:48:30 +0530,106797,131.8,87.6,50.05,28.4,,,,6
2021-02-01 00:49:00 +0530,106798,109.5,85.8,50.05,28.4,,,,6
2021-02-01 00:49:30 +0530,106799,105.5,82.5,50.05,28.4,,,,6
2021-02-01 00:50:00 +0530,106800,114.4,79.4,50.09,28.39,,,,6
2021-02-01 00:50:30 +0530,106801,129.6,85.7,50.12,28.38,,,,6
2021-02-01 00:51:00 +0530,106802,120.9,88.2,50.15,28.38,,,,6
2021-02-01 00:51:30 +0530,106803,108.0,83.3,50.15,28.38,,,,6
2021-02-01 00:52:00 +0530,106804,111.0,88.3,50.19,28.38,,,,6
2021-02-01 00:52:30 +0530,106805,112.0,83.0,50.22,28.38,,,,6
2021-02-01 00:53:00 +0530,106806,107.4,83.5,50.33,28.37,,,,6
2021-02-01 00:53:30 +0530,106807,116.3,84.9,50.36,28.37,,,,6
2021-02-01 00:54:00 +0530,106808,112.7,84.7,50.36,28.38,,,,6
2021-02-01 00:54:30 +0530,106809,118.3,86.2,50.39,28.39,,,,6
2021-02-01 00:55:00 +0530,106810,108.0,81.7,50.39,28.38,,,,6
2021-02-01 00:55:30 +0530,106811,120.5,88.0,50.46,28.38,,,,6
2021-02-01 00:56:00 +0530,106812,113.9,86.2,50.46,28.38,,,,6
2021-02-01 00:56:30 +0530,106813,101.1,82.9,50.46,28.37,,,,6
2021-02-01 00:57:00 +0530,106814,112.5,86.8,50.53,28.35,,,,6
2021-02-01 00:57:30 +0530,106815,108.7,84.3,50.56,28.35,,,,6
2021-02-01 00:58:00 +0530,106816,108.3,85.4,50.59,28.35,,,,6
2021-02-01 00:58:30 +0530,106817,139.8,93.8,50.66,28.35,,,,6
2021-02-01 00:59:00 +0530,106818,113.0,85.9,50.66,28.37,,,,6
2021-02-01 00:59:30 +0530,106819,113.7,87.0,50.69,28.35,,,,6
2021-02-01 01:00:00 +0530,106820,129.2,87.3,50.82,28.34,,,,6
2021-02-01 01:00:30 +0530,106821,119.6,87.6,50.89,28.33,,,,6
2021-02-01 01:01:00 +0530,106822,113.9,86.0,50.89,28.33,,,,6
2021-02-01 01:01:30 +0530,106823,113.0,86.2,50.89,28.33,,,,6
2021-02-01 01:02:00 +0530,106824,113.4,84.7,50.93,28.33,,,,6
2021-02-01 01:02:30 +0530,106825,112.8,85.3,50.96,28.32,,,,6
2021-02-01 01:03:00 +0530,106826,108.1,85.8,50.96,28.32,,,,6
2021-02-01 01:03:30 +0530,106827,142.5,91.5,51.09,28.29,,,,6
2021-02-01 01:04:00 +0530,106828,127.3,87.9,51.16,28.29,,,,6
2021-02-01 01:04:30 +0530,106829,113.9,84.7,51.17,28.27,,,,6
2021-02-01 01:05:00 +0530,106830,110.6,84.0,51.3,28.25,,,,6
2021-02-01 01:05:30 +0530,106831,101.8,84.8,51.33,28.24,,,,6
2021-02-01 01:06:00 +0530,106832,105.6,84.7,51.4,28.23,,,,6
2021-02-01 01:06:30 +0530,106833,117.8,87.3,51.49,28.23,,,,6
2021-02-01 01:07:00 +0530,106834,126.9,87.3,51.57,28.2,,,,6
2021-02-01 01:07:30 +0530,106835,110.4,85.9,51.6,28.2,,,,6
2021-02-01 01:08:00 +0530,106836,108.5,84.5,51.66,28.19,,,,6
2021-02-01 01:08:30 +0530,106837,99.0,84.8,51.66,28.18,,,,6
2021-02-01 01:09:00 +0530,106838,116.6,85.3,51.75,28.18,,,,6
2021-02-01 01:09:30 +0530,106839,116.8,86.9,51.81,28.16,,,,6
2021-02-01 01:10:00 +0530,106840,121.8,85.6,51.84,28.15,,,,6
2021-02-01 01:10:30 +0530,106841,124.7,87.1,51.92,28.14,,,,6
2021-02-01 01:11:00 +0530,106842,142.9,88.2,51.98,28.13,,,,6
2021-02-01 01:11:30 +0530,106843,115.2,84.2,51.98,28.12,,,,6
2021-02-01 01:12:00 +0530,106844,112.0,91.1,51.98,28.12,,,,6
2021-02-01 01:12:30 +0530,106845,105.4,83.7,52.01,28.12,,,,6
2021-02-01 01:13:00 +0530,106846,110.6,88.1,52.04,28.12,,,,6
2021-02-01 01:13:30 +0530,106847,120.2,80.5,52.13,28.12,,,,6
2021-02-01 01:14:00 +0530,106848,119.6,88.1,52.13,28.12,,,,6
2021-02-01 01:14:30 +0530,106849,115.1,83.2,52.1,28.11,,,,6
2021-02-01 01:15:00 +0530,106850,122.7,84.4,52.13,28.12,,,,6
2021-02-01 01:15:30 +0530,106851,104.6,78.6,52.13,28.08,,,,6
2021-02-01 01:16:00 +0530,106852,117.7,86.6,52.16,28.09,,,,6
2021-02-01 01:16:30 +0530,106853,109.0,84.0,52.19,28.08,,,,6
2021-02-01 01:17:00 +0530,106854,116.3,74.1,52.25,28.04,,,,6
2021-02-01 01:17:30 +0530,106855,108.4,82.8,52.22,28.03,,,,6
2021-02-01 01:18:00 +0530,106856,97.5,77.1,52.22,28.03,,,,6
2021-02-01 01:18:30 +0530,106857,107.5,79.5,52.3,28.02,,,,6
2021-02-01 01:19:00 +0530,106858,92.0,75.5,52.3,28.0,,,,6
2021-02-01 01:19:30 +0530,106859,94.3,79.5,52.25,27.99,,,,6
2021-02-01 01:20:00 +0530,106860,99.1,79.1,52.36,27.99,,,,6
2021-02-01 01:20:30 +0530,106861,96.0,80.8,52.33,27.98,,,,6
2021-02-01 01:21:00 +0530,106862,96.4,74.9,52.36,27.98,,,,6
2021-02-01 01:21:30 +0530,106863,90.3,75.4,52.4,27.95,,,,6
2021-02-01 01:22:00 +0530,106864,89.4,71.7,52.36,27.94,,,,6
2021-02-01 01:22:30 +0530,106865,91.2,77.2,52.43,27.91,,,,6
2021-02-01 01:23:00 +0530,106866,92.2,73.5,52.43,27.89,,,,6
2021-02-01 01:23:30 +0530,106867,96.7,74.7,52.51,27.88,,,,6
2021-02-01 01:24:00 +0530,106868,98.5,77.9,52.51,27.89,,,,6
2021-02-01 01:24:30 +0530,106869,107.9,83.7,52.54,27.89,,,,6
2021-02-01 01:25:00 +0530,106870,103.7,84.6,52.51,27.91,,,,6
2021-02-01 01:25:30 +0530,106871,101.0,82.2,52.49,27.93,,,,6
2021-02-01 01:26:00 +0530,106872,104.4,72.9,52.49,27.91,,,,6
2021-02-01 01:26:30 +0530,106873,113.3,81.0,52.45,27.93,,,,6
2021-02-01 01:27:00 +0530,106874,94.5,75.4,52.4,27.94,,,,6
2021-02-01 01:27:30 +0530,106875,94.3,79.5,52.36,27.94,,,,6
2021-02-01 01:28:00 +0530,106876,100.9,81.3,52.33,27.95,,,,6
2021-02-01 01:28:30 +0530,106877,97.0,80.1,52.33,27.96,,,,6
2021-02-01 01:29:00 +0530,106878,102.2,77.1,52.36,27.94,,,,6
2021-02-01 01:29:30 +0530,106879,102.4,80.2,52.36,27.96,,,,6
2021-02-01 01:30:00 +0530,106880,114.9,84.0,52.36,27.96,,,,6
2021-02-01 01:30:30 +0530,106881,92.0,71.7,52.33,27.95,,,,6
2021-02-01 01:31:00 +0530,106882,91.9,75.6,52.3,27.94,,,,6
2021-02-01 01:31:30 +0530,106883,94.5,73.2,52.31,27.93,,,,6
2021-02-01 01:32:00 +0530,106884,97.2,77.2,52.33,27.93,,,,6
2021-02-01 01:32:30 +0530,106885,101.4,80.9,52.36,27.93,,,,6
2021-02-01 01:33:00 +0530,106886,96.3,78.7,52.36,27.94,,,,6
2021-02-01 01:33:30 +0530,106887,95.8,78.9,52.33,27.94,,,,6
2021-02-01 01:34:00 +0530,106888,92.7,79.8,52.28,27.96,,,,6
2021-02-01 01:34:30 +0530,106889,96.8,78.2,52.25,27.96,,,,6
2021-02-01 01:35:00 +0530,106890,106.5,83.7,52.28,27.97,,,,6
2021-02-01 01:35:30 +0530,106891,114.8,84.1,52.28,27.99,,,,6
2021-02-01 01:36:00 +0530,106892,99.8,80.6,52.22,28.0,,,,6
2021-02-01 01:36:30 +0530,106893,99.9,80.0,52.19,28.02,,,,6
2021-02-01 01:37:00 +0530,106894,92.9,80.3,52.1,28.03,,,,6
2021-02-01 01:37:30 +0530,106895,101.7,80.1,52.1,28.04,,,,6
2021-02-01 01:38:00 +0530,106896,118.3,80.8,52.16,28.04,,,,6
2021-02-01 01:38:30 +0530,106897,109.1,80.7,52.16,28.04,,,,6
2021-02-01 01:39:00 +0530,106898,114.8,82.0,52.19,28.04,,,,6
2021-02-01 01:39:30 +0530,106899,101.8,74.5,52.16,28.03,,,,6
2021-02-01 01:40:00 +0530,106900,98.5,76.4,52.16,28.01,,,,6
2021-02-01 01:40:30 +0530,106901,106.7,81.6,52.19,28.02,,,,6
2021-02-01 01:41:00 +0530,106902,106.4,81.2,52.19,28.02,,,,6
2021-02-01 01:41:30 +0530,106903,113.5,82.9,52.22,28.03,,,,6
2021-02-01 01:42:00 +0530,106904,101.9,76.1,52.25,28.01,,,,6
2021-02-01 01:42:30 +0530,106905,96.1,78.7,52.19,28.02,,,,6
2021-02-01 01:43:00 +0530,106906,108.3,91.9,52.16,28.02,,,,6
2021-02-01 01:43:30 +0530,106907,102.6,85.3,52.19,28.01,,,,6
2021-02-01 01:44:00 +0530,106908,91.1,77.1,52.22,28.0,,,,6
2021-02-01 01:44:30 +0530,106909,134.7,87.3,52.25,28.0,,,,6
2021-02-01 01:45:00 +0530,106910,114.0,79.2,52.25,27.99,,,,6
2021-02-01 01:45:30 +0530,106911,108.7,74.6,52.3,27.97,,,,6
2021-02-01 01:46:00 +0530,106912,111.9,82.1,52.3,27.98,,,,6
2021-02-01 01:46:30 +0530,106913,104.1,84.1,52.3,27.99,,,,6
2021-02-01 01:47:00 +0530,106914,98.0,82.0,52.3,27.99,,,,6
2021-02-01 01:47:30 +0530,106915,95.7,78.5,52.28,28.0,,,,6
2021-02-01 01:48:00 +0530,106916,101.7,80.1,52.3,28.01,,,,6
2021-02-01 01:48:30 +0530,106917,98.2,82.1,52.28,28.02,,,,6
2021-02-01 01:49:00 +0530,106918,101.6,80.6,52.3,28.01,,,,6
2021-02-01 01:49:30 +0530,106919,100.9,80.1,52.3,28.02,,,,6
2021-02-01 01:50:00 +0530,106920,97.7,81.3,52.25,28.02,,,,6
2021-02-01 01:50:30 +0530,106921,109.9,83.2,52.16,28.02,,,,6
2021-02-01 01:51:00 +0530,106922,107.8,84.2,52.22,28.02,,,,6
2021-02-01 01:51:30 +0530,106923,90.2,79.4,52.19,28.02,,,,6
2021-02-01 01:52:00 +0530,106924,115.8,82.3,52.25,28.02,,,,6
2021-02-01 01:52:30 +0530,106925,109.8,80.8,52.3,28.02,,,,6
2021-02-01 01:53:00 +0530,106926,107.0,82.3,52.3,28.02,,,,6
2021-02-01 01:53:30 +0530,106927,106.9,80.5,52.36,28.01,,,,6
2021-02-01 01:54:00 +0530,106928,104.7,82.3,52.3,28.03,,,,6
2021-02-01 01:54:30 +0530,106929,90.8,80.8,52.28,28.02,,,,6
2021-02-01 01:55:00 +0530,106930,94.7,81.8,52.22,28.04,,,,6
2021-02-01 01:55:30 +0530,106931,95.0,80.9,52.25,28.03,,,,6
2021-02-01 01:56:00 +0530,106932,93.2,80.6,52.22,28.04,,,,6
2021-02-01 01:56:30 +0530,106933,91.6,78.7,52.22,28.04,,,,6
2021-02-01 01:57:00 +0530,106934,91.7,77.3,52.25,28.03,,,,6
2021-02-01 01:57:30 +0530,106935,96.3,78.5,52.28,28.02,,,,6
2021-02-01 01:58:00 +0530,106936,115.5,83.3,52.25,28.02,,,,6
2021-02-01 01:58:30 +0530,106937,104.3,82.6,52.28,28.01,,,,6
2021-02-01 01:59:00 +0530,106938,91.0,80.0,52.28,28.01,,,,6
2021-02-01 01:59:30 +0530,106939,104.0,79.7,52.36,27.99,,,,6
2021-02-01 02:00:00 +0530,106940,103.6,82.9,52.4,27.99,,,,6
2021-02-01 02:00:30 +0530,106941,97.0,79.5,52.4,27.98,,,,6
2021-02-01 02:01:00 +0530,106942,95.5,82.6,52.43,27.97,,,,6
2021-02-01 02:01:30 +0530,106943,132.3,86.4,52.45,27.97,,,,6
2021-02-01 02:02:00 +0530,106944,104.2,81.3,52.43,27.96,,,,6
2021-02-01 02:02:30 +0530,106945,104.9,81.7,52.43,27.97,,,,6
2021-02-01 02:03:00 +0530,106946,99.0,81.4,52.43,27.97,,,,6
2021-02-01 02:03:30 +0530,106947,183.0,90.1,52.54,27.95,,,,6
2021-02-01 02:04:00 +0530,106948,181.6,93.4,52.59,27.96,,,,6
2021-02-01 02:04:30 +0530,106949,123.1,85.6,52.54,27.96,,,,6
2021-02-01 02:05:00 +0530,106950,109.7,82.3,52.51,27.96,,,,6
2021-02-01 02:05:30 +0530,106951,101.2,81.3,52.45,27.97,,,,6
2021-02-01 02:06:00 +0530,106952,100.9,79.8,52.51,27.96,,,,6
2021-02-01 02:06:30 +0530,106953,102.4,81.3,52.51,27.96,,,,6
2021-02-01 02:07:00 +0530,106954,101.6,82.7,52.45,27.96,,,,6
2021-02-01 02:07:30 +0530,106955,128.2,88.1,52.54,27.94,,,,6
2021-02-01 02:08:00 +0530,106956,105.7,84.7,52.57,27.94,,,,6
2021-02-01 02:08:30 +0530,106957,113.5,84.2,52.57,27.93,,,,6
2021-02-01 02:09:00 +0530,106958,104.6,84.1,52.57,27.93,,,,6
2021-02-01 02:09:30 +0530,106959,109.2,85.9,52.6,27.93,,,,6
2021-02-01 02:10:00 +0530,106960,106.5,81.3,52.6,27.91,,,,6
2021-02-01 02:10:30 +0530,106961,97.1,81.2,52.57,27.91,,,,6
2021-02-01 02:11:00 +0530,106962,103.4,83.4,52.63,27.93,,,,6
2021-02-01 02:11:30 +0530,106963,106.9,82.3,52.63,27.91,,,,6
2021-02-01 02:12:00 +0530,106964,116.4,84.0,52.66,27.91,,,,6
2021-02-01 02:12:30 +0530,106965,113.4,83.3,52.66,27.91,,,,6
2021-02-01 02:13:00 +0530,106966,108.4,77.9,52.69,27.9,,,,6
2021-02-01 02:13:30 +0530,106967,103.6,82.4,52.69,27.9,,,,6
2021-02-01 02:14:00 +0530,106968,103.0,84.3,52.69,27.91,,,,6
2021-02-01 02:14:30 +0530,106969,102.1,82.7,52.63,27.9,,,,6
2021-02-01 02:15:00 +0530,106970,96.0,81.8,52.63,27.91,,,,6
2021-02-01 02:15:30 +0530,106971,99.5,82.8,52.57,27.9,,,,6
2021-02-01 02:16:00 +0530,106972,97.0,84.8,52.6,27.9,,,,6
2021-02-01 02:16:30 +0530,106973,104.7,83.1,52.63,27.9,,,,6
2021-02-01 02:17:00 +0530,106974,98.3,76.6,52.66,27.87,,,,6
2021-02-01 02:17:30 +0530,106975,111.8,81.7,52.69,27.86,,,,6
2021-02-01 02:18:00 +0530,106976,100.0,79.9,52.69,27.85,,,,6
2021-02-01 02:18:30 +0530,106977,98.8,83.2,52.66,27.84,,,,6
2021-02-01 02:19:00 +0530,106978,100.0,78.5,52.72,27.81,,,,6
2021-02-01 02:19:30 +0530,106979,110.2,87.8,52.75,27.81,,,,6
2021-02-01 02:20:00 +0530,106980,103.8,83.0,52.78,27.81,,,,6
2021-02-01 02:20:30 +0530,106981,100.2,79.8,52.81,27.78,,,,6
2021-02-01 02:21:00 +0530,106982,112.6,87.4,52.89,27.76,,,,6
2021-02-01 02:21:30 +0530,106983,118.5,92.1,52.92,27.78,,,,6
2021-02-01 02:22:00 +0530,106984,118.7,88.5,52.89,27.78,,,,6
2021-02-01 02:22:30 +0530,106985,106.6,85.7,52.86,27.78,,,,6
2021-02-01 02:23:00 +0530,106986,109.8,85.1,52.81,27.76,,,,6
2021-02-01 02:23:30 +0530,106987,100.8,85.9,52.84,27.78,,,,6
2021-02-01 02:24:00 +0530,106988,104.1,87.1,52.84,27.78,,,,6
2021-02-01 02:24:30 +0530,106989,99.4,83.4,52.78,27.76,,,,6
2021-02-01 02:25:00 +0530,106990,107.0,87.6,52.78,27.76,,,,6
2021-02-01 02:25:30 +0530,106991,99.3,81.6,52.75,27.75,,,,6
2021-02-01 02:26:00 +0530,106992,100.4,87.1,52.72,27.75,,,,6
2021-02-01 02:26:30 +0530,106993,100.7,87.2,52.72,27.74,,,,6
2021-02-01 02:27:00 +0530,106994,112.1,87.3,52.78,27.73,,,,6
2021-02-01 02:27:30 +0530,106995,101.7,83.0,52.78,27.72,,,,6
2021-02-01 02:28:00 +0530,106996,101.5,87.4,52.75,27.72,,,,6
2021-02-01 02:28:30 +0530,106997,119.7,79.0,52.92,27.68,,,,6
2021-02-01 02:29:00 +0530,106998,109.3,81.0,52.98,27.67,,,,6
2021-02-01 02:29:30 +0530,106999,103.9,81.3,52.92,27.66,,,,6
2021-02-01 02:30:00 +0530,107000,115.5,80.4,53.04,27.64,,,,6
2021-02-01 02:30:30 +0530,107001,105.6,79.3,52.98,27.64,,,,6
2021-02-01 02:31:00 +0530,107002,102.1,85.2,52.98,27.66,,,,6
2021-02-01 02:31:30 +0530,107003,99.3,81.6,52.98,27.65,,,,6
2021-02-01 02:32:00 +0530,107004,97.3,84.4,53.01,27.65,,,,6
2021-02-01 02:32:30 +0530,107005,122.5,87.7,53.07,27.64,,,,6
2021-02-01 02:33:00 +0530,107006,103.3,77.2,53.07,27.61,,,,6
2021-02-01 02:33:30 +0530,107007,98.5,79.5,53.07,27.61,,,,6
2021-02-01 02:34:00 +0530,107008,98.0,80.6,53.1,27.6,,,,6
2021-02-01 02:34:30 +0530,107009,99.4,77.1,53.1,27.58,,,,6
2021-02-01 02:35:00 +0530,107010,105.8,83.8,53.1,27.57,,,,6
2021-02-01 02:35:30 +0530,107011,102.4,84.1,53.13,27.57,,,,6
2021-02-01 02:36:00 +0530,107012,100.7,79.7,53.19,27.56,,,,6
2021-02-01 02:36:30 +0530,107013,110.4,84.6,53.22,27.57,,,,6
2021-02-01 02:37:00 +0530,107014,101.8,84.9,53.16,27.57,,,,6
2021-02-01 02:37:30 +0530,107015,99.7,85.2,53.13,27.56,,,,6
2021-02-01 02:38:00 +0530,107016,105.2,85.8,53.13,27.56,,,,6
2021-02-01 02:38:30 +0530,107017,105.1,87.8,53.16,27.56,,,,6
2021-02-01 02:39:00 +0530,107018,118.3,88.9,53.19,27.56,,,,6
2021-02-01 02:39:30 +0530,107019,103.4,85.3,53.19,27.56,,,,6
2021-02-01 02:40:00 +0530,107020,111.9,84.8,53.19,27.55,,,,6
2021-02-01 02:40:30 +0530,107021,107.8,75.9,53.22,27.53,,,,6
2021-02-01 02:41:00 +0530,107022,99.2,76.1,53.33,27.51,,,,6
2021-02-01 02:41:30 +0530,107023,100.7,77.6,53.39,27.47,,,,6
2021-02-01 02:42:00 +0530,107024,104.9,84.2,53.39,27.47,,,,6
2021-02-01 02:42:30 +0530,107025,101.8,84.3,53.36,27.5,,,,6
2021-02-01 02:43:00 +0530,107026,108.6,88.0,53.33,27.51,,,,6
2021-02-01 02:43:30 +0530,107027,99.3,77.9,53.39,27.47,,,,6
2021-02-01 02:44:00 +0530,107028,102.1,82.0,53.39,27.47,,,,6
2021-02-01 02:44:30 +0530,107029,102.8,82.7,53.39,27.46,,,,6
2021-02-01 02:45:00 +0530,107030,176.8,97.6,53.39,27.46,,,,6
2021-02-01 02:45:30 +0530,107031,148.4,94.9,53.39,27.5,,,,6
2021-02-01 02:46:00 +0530,107032,105.7,85.3,53.36,27.49,,,,6
2021-02-01 02:46:30 +0530,107033,115.7,85.7,53.36,27.5,,,,6
2021-02-01 02:47:00 +0530,107034,107.2,84.9,53.33,27.51,,,,6
2021-02-01 02:47:30 +0530,107035,104.8,85.5,53.27,27.51,,,,6
2021-02-01 02:48:00 +0530,107036,100.4,84.3,53.22,27.51,,,,6
2021-02-01 02:48:30 +0530,107037,97.5,84.7,53.19,27.52,,,,6
2021-02-01 02:49:00 +0530,107038,101.3,86.8,53.16,27.52,,,,6
2021-02-01 02:49:30 +0530,107039,106.5,88.0,53.16,27.53,,,,6
2021-02-01 02:50:00 +0530,107040,109.4,82.8,53.27,27.52,,,,6
